area,price/sqm,condition,status,district,type
250.0,10.0,renovated,new building,Chugureti,office
155.0,11.612903225806452,old renovated,old building,Chugureti,office
160.0,7.5,newly renovated,old building,Chugureti,office
120.0,11.25,newly renovated,new building,Chugureti,commercial
244.0,12.704918032786885,newly renovated,new building,Chugureti,commercial
100.0,20.0,newly renovated,old building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,old building,Chugureti,commercial
160.0,13.9375,old renovated,old building,Chugureti,commercial
110.0,11.363636363636363,newly renovated,new building,Chugureti,office
160.0,8.125,newly renovated,old building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,new building,Chugureti,office
110.0,13.636363636363637,renovated,new building,Chugureti,office
155.0,11.612903225806452,renovated,old building,Chugureti,office
180.0,5.555555555555555,newly renovated,new building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,old building,Chugureti,commercial
100.0,20.0,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
480.0,9.375,old renovated,old building,Chugureti,commercial
206.0,7.281553398058253,needs renovation,old building,Chugureti,commercial
250.0,10.0,newly renovated,new building,Chugureti,office
160.0,7.5,newly renovated,new building,Chugureti,commercial
160.0,8.125,newly renovated,new building,Chugureti,commercial
230.0,13.043478260869565,newly renovated,new building,Chugureti,commercial
230.0,13.0,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
225.0,15.555555555555555,newly renovated,new building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
160.0,8.125,newly renovated,old building,Chugureti,office
630.0,4.761904761904762,newly renovated,new building,Chugureti,commercial
230.0,15.217391304347826,renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,old building,Chugureti,commercial
352.0,14.204545454545455,newly renovated,new building,Chugureti,commercial
170.0,21.176470588235293,newly renovated,new building,Chugureti,commercial
100.0,10.0,newly renovated,new building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,new building,Chugureti,commercial
180.0,11.11111111111111,renovated,new building,Chugureti,commercial
116.0,21.982758620689655,newly renovated,new building,Chugureti,office
230.0,13.91304347826087,newly renovated,old building,Chugureti,office
340.0,10.294117647058824,newly renovated,new building,Chugureti,commercial
160.0,8.125,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
160.0,8.75,newly renovated,new building,Chugureti,office
480.0,7.291666666666667,old renovated,old building,Chugureti,office
1823.0,8.228195282501371,old renovated,old building,Chugureti,commercial
160.0,7.5,old renovated,old building,Chugureti,office
244.0,13.114754098360656,newly renovated,new building,Chugureti,office
160.0,7.8125,newly renovated,old building,Chugureti,commercial
250.0,12.72,newly renovated,new building,Chugureti,office
160.0,8.6875,old renovated,old building,Chugureti,office
225.0,15.511111111111111,newly renovated,new building,Chugureti,commercial
300.0,14.666666666666666,newly renovated,new building,Chugureti,office
700.0,5.714285714285714,newly renovated,new building,Chugureti,office
700.0,5.714285714285714,newly renovated,new building,Chugureti,office
100.0,16.9,newly renovated,new building,Chugureti,office
125.0,5.6,old renovated,old building,Chugureti,commercial
413.0,10.895883777239709,newly renovated,new building,Chugureti,commercial
185.0,6.486486486486487,newly renovated,new building,Chugureti,office
1823.0,6.582556226001097,old renovated,old building,Chugureti,commercial
160.0,10.0,old renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
125.0,5.6,newly renovated,new building,Chugureti,commercial
185.0,6.4324324324324325,newly renovated,new building,Chugureti,office
160.0,7.5,old renovated,old building,Chugureti,commercial
110.0,13.545454545454545,newly renovated,new building,Chugureti,office
110.0,13.545454545454545,under renovation,new building,Chugureti,office
160.0,8.125,newly renovated,old building,Chugureti,commercial
950.0,15.789473684210526,newly renovated,new building,Chugureti,commercial
240.0,8.333333333333334,newly renovated,new building,Chugureti,office
939.0,10.649627263045794,newly renovated,old building,Chugureti,office
352.0,15.994318181818182,renovated,new building,Chugureti,office
630.0,9.523809523809524,newly renovated,new building,Chugureti,commercial
600.0,5.833333333333333,newly renovated,new building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
160.0,8.125,newly renovated,new building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
235.0,6.382978723404255,newly renovated,old building,Chugureti,commercial
170.0,29.41176470588235,old renovated,old building,Chugureti,commercial
225.0,13.333333333333334,newly renovated,new building,Chugureti,office
244.0,12.704918032786885,newly renovated,new building,Chugureti,commercial
250.0,9.8,newly renovated,old building,Chugureti,office
180.0,16.666666666666668,newly renovated,old building,Chugureti,commercial
186.0,21.50537634408602,renovated,old building,Chugureti,commercial
225.0,13.333333333333334,newly renovated,old building,Chugureti,commercial
210.6,11.396011396011396,newly renovated,new building,Chugureti,commercial
225.0,13.333333333333334,newly renovated,new building,Chugureti,commercial
226.0,13.274336283185841,newly renovated,old building,Chugureti,commercial
120.0,14.166666666666666,newly renovated,new building,Chugureti,commercial
360.0,10.0,old renovated,old building,Chugureti,commercial
450.0,8.88888888888889,newly renovated,new building,Chugureti,commercial
450.0,5.733333333333333,newly renovated,old building,Chugureti,commercial
700.0,5.714285714285714,newly renovated,old building,Chugureti,commercial
160.0,6.25,newly renovated,old building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,new building,Chugureti,commercial
160.0,7.5,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
115.0,21.73913043478261,newly renovated,new building,Chugureti,office
110.0,21.818181818181817,newly renovated,new building,Chugureti,office
100.0,10.0,newly renovated,new building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,new building,Chugureti,office
113.0,6.1946902654867255,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
756.0,10.582010582010582,newly renovated,new building,Chugureti,office
480.0,9.375,old renovated,new building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
240.0,16.666666666666668,newly renovated,new building,Chugureti,office
230.0,13.043478260869565,newly renovated,new building,Chugureti,commercial
800.0,12.5,newly renovated,new building,Chugureti,office
328.0,2.2865853658536586,newly renovated,new building,Chugureti,office
730.0,10.0,white frame,new building,Chugureti,commercial
110.0,9.909090909090908,newly renovated,new building,Chugureti,commercial
110.0,11.818181818181818,newly renovated,old building,Chugureti,commercial
160.0,8.125,newly renovated,new building,Chugureti,commercial
180.0,22.22222222222222,newly renovated,new building,Chugureti,commercial
100.0,10.0,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
360.0,5.555555555555555,renovated,new building,Chugureti,commercial
235.0,6.382978723404255,newly renovated,new building,Chugureti,commercial
225.0,13.244444444444444,newly renovated,old building,Chugureti,office
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
110.0,8.436363636363636,needs renovation,old building,Chugureti,commercial
210.0,11.428571428571429,newly renovated,new building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
300.0,8.333333333333334,newly renovated,old building,Chugureti,office
135.0,9.62962962962963,newly renovated,old building,Chugureti,commercial
120.0,16.666666666666668,newly renovated,old building,Chugureti,office
230.0,13.043478260869565,newly renovated,new building,Chugureti,commercial
110.0,13.181818181818182,renovated,old building,Chugureti,office
108.0,7.407407407407407,needs renovation,old building,Chugureti,commercial
110.0,9.454545454545455,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
110.0,13.636363636363637,needs renovation,old building,Chugureti,commercial
1390.0,7.194244604316546,newly renovated,new building,Chugureti,office
330.0,10.606060606060606,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
110.0,13.545454545454545,newly renovated,new building,Chugureti,commercial
230.0,14.347826086956522,renovated,new building,Chugureti,commercial
244.0,16.721311475409838,renovated,old building,Chugureti,office
220.0,6.818181818181818,renovated,new building,Chugureti,office
125.0,5.6,newly renovated,old building,Chugureti,office
226.0,13.274336283185841,newly renovated,old building,Chugureti,commercial
186.0,24.193548387096776,renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
256.0,7.03125,old renovated,old building,Chugureti,office
260.0,6.923076923076923,renovated,old building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
110.0,10.0,newly renovated,new building,Chugureti,commercial
160.0,7.4375,newly renovated,old building,Chugureti,commercial
450.0,6.177777777777778,newly renovated,old building,Chugureti,commercial
450.0,5.511111111111111,newly renovated,old building,Chugureti,commercial
110.0,13.636363636363637,under renovation,new building,Chugureti,office
450.0,5.555555555555555,newly renovated,new building,Chugureti,commercial
175.0,5.714285714285714,newly renovated,old building,Chugureti,office
230.0,13.043478260869565,newly renovated,old building,Chugureti,commercial
110.0,11.363636363636363,newly renovated,new building,Chugureti,office
100.0,10.0,newly renovated,new building,Chugureti,commercial
290.0,12.068965517241379,newly renovated,new building,Chugureti,commercial
110.0,12.727272727272727,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,old building,Chugureti,commercial
650.0,9.23076923076923,old renovated,old building,Chugureti,commercial
320.0,25.0,black frame,new building,Chugureti,commercial
120.0,8.333333333333334,newly renovated,new building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
100.0,19.8,newly renovated,old building,Chugureti,commercial
110.0,11.636363636363637,newly renovated,old building,Chugureti,commercial
120.0,11.666666666666666,newly renovated,new building,Chugureti,commercial
110.0,11.818181818181818,old renovated,old building,Chugureti,office
102.0,12.745098039215685,newly renovated,old building,Chugureti,office
185.0,8.108108108108109,newly renovated,new building,Chugureti,office
155.0,11.612903225806452,renovated,new building,Chugureti,office
210.0,11.428571428571429,newly renovated,new building,Chugureti,commercial
116.0,21.982758620689655,newly renovated,new building,Chugureti,office
110.0,11.363636363636363,renovated,new building,Chugureti,commercial
230.0,9.565217391304348,newly renovated,new building,Chugureti,office
110.0,13.636363636363637,newly renovated,new building,Chugureti,office
185.0,8.108108108108109,newly renovated,old building,Chugureti,office
206.0,7.281553398058253,old renovated,old building,Chugureti,commercial
210.0,11.428571428571429,newly renovated,new building,Chugureti,commercial
480.0,8.125,old renovated,new building,Chugureti,commercial
185.0,6.486486486486487,newly renovated,new building,Chugureti,office
186.0,19.838709677419356,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,commercial
480.0,9.375,renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,old building,Chugureti,commercial
116.0,18.017241379310345,newly renovated,new building,Chugureti,commercial
200.0,7.5,renovated,new building,Chugureti,commercial
110.0,12.727272727272727,newly renovated,old building,Chugureti,commercial
480.0,9.375,newly renovated,new building,Chugureti,office
150.0,16.666666666666668,newly renovated,new building,Chugureti,office
165.0,7.2727272727272725,renovated,old building,Chugureti,commercial
100.0,12.0,newly renovated,new building,Chugureti,commercial
170.0,28.823529411764707,old renovated,old building,Chugureti,commercial
450.0,8.244444444444444,newly renovated,old building,Chugureti,commercial
200.0,20.0,renovated,old building,Chugureti,office
220.0,7.2727272727272725,under renovation,new building,Chugureti,office
190.0,10.526315789473685,renovated,new building,Chugureti,commercial
480.0,9.375,old renovated,old building,Chugureti,commercial
230.0,13.0,renovated,new building,Chugureti,commercial
245.0,13.061224489795919,newly renovated,new building,Chugureti,commercial
230.0,13.043478260869565,newly renovated,old building,Chugureti,commercial
720.0,1.6666666666666667,newly renovated,new building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
700.0,6.428571428571429,newly renovated,old building,Chugureti,commercial
140.0,12.142857142857142,old renovated,old building,Chugureti,commercial
110.0,13.636363636363637,renovated,old building,Chugureti,commercial
700.0,12.857142857142858,renovated,old building,Chugureti,warehouse
700.0,12.857142857142858,renovated,old building,Chugureti,commercial
280.0,7.142857142857143,newly renovated,new building,Chugureti,office
125.0,5.6,newly renovated,new building,Chugureti,commercial
250.0,10.0,renovated,new building,Chugureti,office
480.0,9.375,newly renovated,new building,Chugureti,commercial
120.0,13.0,newly renovated,new building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
186.0,19.892473118279568,newly renovated,old building,Chugureti,commercial
230.0,13.0,newly renovated,old building,Chugureti,office
102.0,5.392156862745098,old renovated,old building,Chugureti,commercial
102.0,5.392156862745098,old renovated,old building,Chugureti,office
195.0,5.128205128205129,newly renovated,old building,Chugureti,office
